"fixed_perkg-0=>fixed,1=>perKg",from,to,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0.5,736,667,789,983,667,708,410,793,878,1142,1098,1312,922,1102,1934,874,1177,900,1543,3470
0,0.5,1,826,850,871,1385,850,917,709,1125,917,1311,1153,1372,1337,1371,2254,1426,1573,1185,1936,3989
0,1.01,1.5,938,1050,989,1792,1050,1100,1009,1228,1100,1598,1394,1829,1752,1666,2574,1952,1969,1436,2328,4493
0,1.5,2,1069,1259,1130,2194,1259,1308,1308,1434,1308,1908,1818,2118,2177,1936,2894,2505,2364,1720,2721,4997
